!@1	Evil Eye of the Clawstorm
!@2	Evil Eye of the Landmass
!@3	Evil Eye of the Glowing Blob
!@4	Evil Eye of the Fairy Witch
!@5	Evil Eye of the Bane Hunter
!@6	Dogma of Suffering
!@7	Dogma of Pain
!@8	Dogma of Hatred
!@9	Dogma of Terror
!@A	Dogma of Destruction
!@B	Signet of Skill
!@c	Wisdom: -- Baal --
!0@	Kite Shield (Immortal)
!01	Naginata (1)
!02	Naginata (2)
!03	Naginata (3)
!04	Naginata (4)
!05	Naginata (5)
!06	Naginata (6)
!07	Naginata (Sacred)
!08	Raptor Scythe (1)
!09	Raptor Scythe (2)
!1!	Warp Blade (3)
!1@	Balanced Knife (Immortal)
!10	Raptor Scythe (3)
!11	Raptor Scythe (4)
!12	Raptor Scythe (5)
!13	Raptor Scythe (6)
!14	Raptor Scythe (Sacred)
!15	Bonesplitter (1)
!16	Bonesplitter (2)
!17	Bonesplitter (3)
!18	Bonesplitter (4)
!19	Bonesplitter (5)
!2!	Warp Blade (4)
!2@	Crystal Sword (Immortal)
!20	Bonesplitter (6)
!21	Bonesplitter (Sacred)
!22	Mammen Axe (1)
!23	Mammen Axe (2)
!24	Mammen Axe (3)
!25	Mammen Axe (4)
!26	Mammen Axe (5)
!27	Mammen Axe (6)
!28	Mammen Axe (Sacred)
!29	Hammerhead Axe (2)
!3!	Warp Blade (5)
!3@	Scissors Katar (Immortal)
!30	Hammerhead Axe (3)
!31	Hammerhead Axe (4)
!32	Hammerhead Axe (5)
!33	Hammerhead Axe (6)
!34	Hammerhead Axe (Sacred)
!35	Ono (1)
!36	Ono (2)
!37	Ono (3)
!38	Ono (4)
!39	Ono (5)
!4!	Warp Blade (6)
!4@	War Scepter (Immortal)
!40	Ono (6)
!41	Ono (Sacred)
!42	Valaska (1)
!43	Valaska (2)
!44	Valaska (3)
!45	Valaska (4)
!46	Valaska (5)
!47	Valaska (6)
!48	Valaska (Sacred)
!49	Labrys (1)
!5!	Warp Blade (Sacred)
!5@	Yew Wand (Immortal)
!50	Labrys (2)
!51	Labrys (3)
!52	Labrys (4)
!53	Labrys (5)
!54	Labrys (6)
!55	Labrys (Sacred)
!56	Flamen Staff (1)
!57	Flamen Staff (2)
!58	Flamen Staff (3)
!59	Flamen Staff (4)
!6@	Long War Bow (Immortal)
!60	Flamen Staff (5)
!61	Flamen Staff (6)
!62	Flamen Staff (Sacred)
!63	Marrow Staff (1)
!64	Marrow Staff (2)
!65	Marrow Staff (3)
!66	Marrow Staff (4)
!67	Marrow Staff (5)
!68	Marrow Staff (6)
!69	Marrow Staff (Sacred)
!7@	Throwing Axe (Immortal)
!70	Hexblade (1)
!71	Hexblade (2)
!72	Hexblade (3)
!73	Hexblade (4)
!74	Hexblade (5)
!75	Hexblade (6)
!76	Hexblade (Sacred)
!77	Spirit Edge (1)
!78	Spirit Edge (2)
!79	Spirit Edge (3)
!8@	throwing Spear (Immortal)
!80	Spirit Edge (4)
!81	Spirit Edge (5)
!82	Spirit Edge (6)
!83	Spirit Edge (Sacred)
!84	Holy Lance (1)
!85	Holy Lance (2)
!86	Holy Lance (3)
!87	Holy Lance (4)
!88	Holy Lance (5)
!89	Holy Lance (6)
!9@	Bone Helm (Immortal)
!90	Holy Lance (Sacred)
!91	Tepoztopilli (1)
!92	Tepoztopilli (2)
!93	Tepoztopilli (3)
!94	Tepoztopilli (4)
!95	Tepoztopilli (5)
!96	Tepoztopilli (6)
!97	Tepoztopilli (Sacred)
!98	Warp Blade (1)
!99	Warp Blade (2)
!e@	Scythe (Immortal)
!q@	Light Plate (Immortal)
!r@	War Axe (Immortal)
!t@	Naginata (Immortal)
!w@	Thorn of Teror
!z@	Admin Charm
$$a	Dungeon Uberquest 1
43-	Wisdom: -- Heroic Levels --
43!	Hundsgugel (1)
43@	Dagger (Sacred)
43+	-1% to Enemy Lightning Resistance
430	Scythe (5)
431	Halberd (5)
432	Short Bow (5)
433	Hunter's Bow (5)
434	Long Bow (5)
435	Composite Bow (5)
436	Short Battle Bow (5)
437	Long Battle Bow (5)
438	Short War Bow (5)
439	Long War Bow (5)
44-	Wisdom: -- Shield Auras --
44!	Hundsgugel (2)
44@	Dirk (Sacred)
44+	-1% to Enemy Poison Resistance
440	Short Sword (6)
441	Scimitar (6)
442	Saber (6)
443	Falchion (6)
444	Broad Sword (6)
445	Long Sword (6)
446	War Sword (6)
447	Two-Handed Sword (6)
448	Claymore (6)
449	Giant Sword (6)
45-	Wisdom: -- Drop Bias --
45!	Hundsgugel (3)
45@	Kriss (Sacred)
45+	+5 Crafting Points
450	Bastard Sword (6)
451	Flamberge (6)
452	Great Sword (6)
453	Crystal Sword (6)
454	Hand Axe (6)
455	Axe (6)
456	Double Axe (6)
457	Military Pick (6)
458	War Axe (6)
459	Large Axe (6)
46-	Wisdom: -- Honorific Items --
46!	Hundsgugel (4)
46@	Blade (Sacred)
46+	+2% Damage when Using a Healing Potion
460	Broad Axe (6)
461	Battle Axe (6)
462	Great Axe (6)
463	Giant Axe (6)
464	Club (6)
465	Spiked Club (6)
466	Mace (6)
467	Morning Star (6)
468	Flail (6)
469	Scepter (6)
47-	Wisdom: -- Book of Summoning --
47!	Hundsgugel (5)
47@	Throwing Knife (Sacred)
47+	Requirements -1%
470	Grand Scepter (6)
471	War Scepter (6)
472	Javelin (6)
473	Pilum (6)
474	Short Spear (6)
475	Glaive (6)
476	Throwing Spear (6)
477	Spear (6)
478	Trident (6)
479	Brandistock (6)
48-	Wisdom: -- Sacred Items --
48!	Hundsgugel (6)
48@	Flying Knife (Sacred)
48+	1% Increased Healing Rate from Potions
480	Spetum (6)
481	Pike (6)
482	Dagger (6)
483	Dirk (6)
484	Kriss (6)
485	Blade (6)
486	Throwing Knife (6)
487	Flying Knife (6)
488	Balanced Knife (6)
489	Throwing Axe (6)
49-	Wisdom: -- Sacred Uniques and Sets --
49!	Hundsgugel (Sacred)
49@	Balanced Knife (Sacred)
49+	5% Damage Reflected
490	Balanced Axe (6)
491	Short Staff (6)
492	Long Staff (6)
493	Gnarled Staff (6)
494	Battle Staff (6)
495	War Staff (6)
496	Bardiche (6)
497	Voulge (6)
498	Scythe (6)
499	Halberd (6)
5$a	Chipped Amber
5$b	Flawed Amber
5$c	Amber
5$d	Flawless Amber
5$e	Perfect Amber
5@1	Compound Bow (5)
5@2	Serpent Bow (Sacred)
5@3	Viper Bow (2)
5@4	Recurve Bow (4)
5@5	Spatha (6)
5@6	Ida (1)
5@7	Bronze Sword (3)
5@8	Kriegsmesser (5)
5@9	Bonebreaker (Sacred)
5@A	Angel Star (2)
5@C	Hand of God (6)
5@D	Dart Thrower (1)
5@E	Stinger Crossbow (3)
5@F	Trebuchet (5)
5@G	Gambeson (5)
5@H	Lamellar Armor (Sacred)
5@I	Banded Plate (2)
5@J	Ceremonial Armor (4)
5@K	Morion (6)
5@L	Einherjar Helm (1)
5@M	Spangenhelm (3)
5@N	Parma (5)
5@O	Aspis (Sacred)
5@P	Bladed Shield (2)
50-	Wisdom: -- Item Tiers --
50!	Blackguard Helm (1)
50@	Throwing Axe (Sacred)
50+	2% Faster Block Rate
500	Short Bow (6)
501	Hunter's Bow (6)
502	Long Bow (6)
503	Composite Bow (6)
504	Short Battle Bow (6)
505	Long Battle Bow (6)
506	Short War Bow (6)
507	Long War Bow (6)
51!	Blackguard Helm (2)
51@	Balanced Axe (Sacred)
51+	2% Faster Run/Walk
52!	Blackguard Helm (3)
52@	Short Staff (Sacred)
52+	2% Faster Hit Recovery
53!	Blackguard Helm (4)
53@	Long Staff (Sacred)
53+	Regenerate Life +5
54!	Blackguard Helm (5)
54@	Gnarled Staff (Sacred)
54+	1% Reanimate As: Fallen One
55!	Blackguard Helm (6)
55@	Battle Staff (Sacred)
55+	1% Chance to cast level 1 Teleport when Struck
56!	Blackguard Helm (Sacred)
56@	War Staff (Sacred)
56+	1% Chance to cast level 4 Spike Nova on Attack
57@	Bardiche (Sacred)
57+	1% Chance to cast level 3 Hex on Attack
58@	Voulge (Sacred)
58+	1% Chance to cast level 6 Crucify on Attack
59@	Scythe (Sacred)
59+	1% Chance to cast level 8 Doom on Attack
6@1	Compound Bow (6)
6@2	Maple Bow (1)
6@3	Viper Bow (3)
6@4	Recurve Bow (5)
6@5	Spatha (Sacred)
6@6	Ida (2)
6@7	Bronze Sword (4)
6@8	Kriegsmesser (6)
6@9	Goedendag (1)
6@A	Angel Star (3)
6@C	Hand of God (Sacred)
6@D	Dart Thrower (2)
6@E	Stinger Crossbow (4)
6@F	Trebuchet (6)
6@G	Gambeson (6)
6@H	Kazarghand (1)
6@I	Banded Plate (3)
6@J	Ceremonial Armor (5)
6@K	Morion (Sacred)
6@L	Einherjar Helm (2)
6@M	Spangenhelm (4)
6@N	Parma (6)
6@O	Totem Shield (1)
6@P	Bladed Shield (3)
60@	Halberd (Sacred)
60+	+5 Life on Striking in Melee
600	Quilted Armor (1)
601	Leather Armor (1)
602	Hard Leather Armor (1)
603	Studded Leather (1)
604	Ring Mail (1)
605	Scale Mail (1)
606	Chain Mail (1)
607	Breast Plate (1)
608	Splint Mail (1)
609	Plate Mail (1)
61@	Short Bow (Sacred)
61+	+5 Mana on Striking in Melee
610	Field Plate (1)
611	Light Plate (1)
612	Gothic Plate (1)
613	Full Plate Mail (1)
614	Ancient Armor (1)
615	Cap (1)
616	Skull Cap (1)
617	Helm (1)
618	Full Helm (1)
619	Great Helm (1)
62@	Hunter's Bow (Sacred)
62+	+2 Energy Factor to Spell Damage
620	Crown (1)
621	Buckler (1)
622	Small Shield (1)
623	Large Shield (1)
624	Kite Shield (1)
625	Tower Shield (1)
626	Gothic Shield (1)
627	Sash (1)
628	Light Belt (1)
629	Belt (1)
63@	Long Bow (Sacred)
63+	Enhanced Weapon Damage Plus 5%
630	Heavy Belt (1)
631	Plated Belt (1)
632	Leather Gloves (1)
633	Heavy Gloves (1)
634	Chain Gloves (1)
635	Light Gauntlets (1)
636	Gauntlets (1)
637	Boots (1)
638	Heavy Boots (1)
639	Chain Boots (1)
64@	Composite Bow (Sacred)
64+	2% Faster Cast Rate
640	Light Plated Boots (1)
641	Greaves (1)
642	Bone Shield (1)
643	Spiked Shield (1)
644	Mask (1)
645	Bone Helm (1)
646	Quilted Armor (2)
647	Leather Armor (2)
648	Hard Leather Armor (2)
649	Studded Leather (2)
65@	Short Battle Bow (Sacred)
65+	2% Increased Attack Speed
650	Ring Mail (2)
651	Scale Mail (2)
652	Chain Mail (2)
653	Breast Plate (2)
654	Splint Mail (2)
655	Plate Mail (2)
656	Field Plate (2)
657	Light Plate (2)
658	Gothic Plate (2)
659	Full Plate Mail (2)
66@	Long Battle Bow (Sacred)
66+	+10 Required Level...
660	Ancient Armor (2)
661	Cap (2)
662	Skull Cap (2)
663	Helm (2)
664	Full Helm (2)
665	Great Helm (2)
666	Crown (2)
667	Buckler (2)
668	Small Shield (2)
669	Large Shield (2)
67@	Short War Bow (Sacred)
670	Kite Shield (2)
671	Tower Shield (2)
672	Gothic Shield (2)
673	Sash (2)
674	Light Belt (2)
675	Belt (2)
676	Heavy Belt (2)
677	Plated Belt (2)
678	Leather Gloves (2)
679	Heavy Gloves (2)
68@	Long War Bow (Sacred)
680	Chain Gloves (2)
681	Light Gauntlets (2)
682	Gauntlets (2)
683	Boots (2)
684	Heavy Boots (2)
685	Chain Boots (2)
686	Light Plated Boots (2)
687	Greaves (2)
688	Bone Shield (2)
689	Spiked Shield (2)
69@	Wand (Sacred)
690	Mask (2)
691	Bone Helm (2)
692	Quilted Armor (3)
693	Leather Armor (3)
694	Hard Leather Armor (3)
695	Studded Leather (3)
696	Ring Mail (3)
697	Scale Mail (3)
698	Chain Mail (3)
699	Breast Plate (3)
6bs	Shillelagh
6cb	Great Bow
6cs	Elder Staff
6hb	Blade Bow
6hx	Colossus Crossbow
6l7	Crusader Bow
6lb	Shadow Bow
6ls	Stalagmite
6lw	Hydra Bow
6lx	Pellet Bow
6mx	Gorgon Crossbow
6rx	Demon Crossbow
6s7	Diamond Bow
6sb	Spider Bow
6ss	Walking Stick
6sw	Ward Bow
6ws	Archon Staff
7$a	Chipped Turquoise
7$b	Flawed Turquoise
7$c	Turquoise
7$d	Flawless Turquoise
7$e	Perfect Turquoise
7@1	Compound Bow (Sacred)
7@2	Maple Bow (2)
7@3	Viper Bow (4)
7@4	Recurve Bow (6)
7@5	Backsword (1)
7@6	Ida (3)
7@7	Bronze Sword (5)
7@8	Kriegsmesser (Sacred)
7@9	Goedendag (2)
7@A	Angel Star (4)
7@C	Needle Crossbow (1)
7@D	Dart Thrower (3)
7@E	Stinger Crossbow (5)
7@F	Trebuchet (Sacred)
7@G	Gambeson (Sacred)
7@H	Kazarghand (2)
7@I	Banded Plate (4)
7@J	Ceremonial Armor (6)
7@K	Cervelliere (1)
7@L	Einherjar Helm (3)
7@M	Spangenhelm (5)
7@N	Parma (Sacred)
7@O	Totem Shield (2)
7@P	Bladed Shield (4)
70@	Yew Wand (Sacred)
700	Splint Mail (3)
701	Plate Mail (3)
702	Field Plate (3)
703	Light Plate (3)
704	Gothic Plate (3)
705	Full Plate Mail (3)
706	Ancient Armor (3)
707	Cap (3)
708	Skull Cap (3)
709	Helm (3)
71@	Bone Wand (Sacred)
71+	+10 Required Level..
710	Full Helm (3)
711	Great Helm (3)
712	Crown (3)
713	Buckler (3)
714	Small Shield (3)
715	Large Shield (3)
716	Kite Shield (3)
717	Tower Shield (3)
718	Gothic Shield (3)
719	Sash (3)
72-	Wisdom: -- Sacred Uniques and Sets --
72@	Grim Wand (Sacred)
720	Light Belt (3)
721	Belt (3)
722	Heavy Belt (3)
723	Plated Belt (3)
724	Leather Gloves (3)
725	Heavy Gloves (3)
726	Chain Gloves (3)
727	Light Gauntlets (3)
728	Gauntlets (3)
729	Boots (3)
72a	Ettin Axe
72h	Legend Sword
73@	War Hammer (Sacred)
730	Heavy Boots (3)
731	Chain Boots (3)
732	Light Plated Boots (3)
733	Greaves (3)
734	Bone Shield (3)
735	Spiked Shield (3)
736	Mask (3)
737	Bone Helm (3)
738	Quilted Armor (4)
739	Leather Armor (4)
74@	Maul (Sacred)
740	Hard Leather Armor (4)
741	Studded Leather (4)
742	Ring Mail (4)
743	Scale Mail (4)
744	Chain Mail (4)
745	Breast Plate (4)
746	Splint Mail (4)
747	Plate Mail (4)
748	Field Plate (4)
749	Light Plate (4)
75@	Great Maul (Sacred)
750	Gothic Plate (4)
751	Full Plate Mail (4)
752	Ancient Armor (4)
753	Cap (4)
754	Skull Cap (4)
755	Helm (4)
756	Full Helm (4)
757	Great Helm (4)
758	Crown (4)
759	Buckler (4)
76@	Light Crossbow (Sacred)
760	Small Shield (4)
761	Large Shield (4)
762	Kite Shield (4)
763	Tower Shield (4)
764	Gothic Shield (4)
765	Sash (4)
766	Light Belt (4)
767	Belt (4)
768	Heavy Belt (4)
769	Plated Belt (4)
77@	Crossbow (Sacred)
770	Leather Gloves (4)
771	Heavy Gloves (4)
772	Chain Gloves (4)
773	Light Gauntlets (4)
774	Gauntlets (4)
775	Boots (4)
776	Heavy Boots (4)
777	Chain Boots (4)
778	Light Plated Boots (4)
779	Greaves (4)
78@	Heavy Crossbow (Sacred)
780	Bone Shield (4)
781	Spiked Shield (4)
782	Mask (4)
783	Bone Helm (4)
784	Quilted Armor (5)
785	Leather Armor (5)
786	Hard Leather Armor (5)
787	Studded Leather (5)
788	Ring Mail (5)
789	Scale Mail (5)
79@	Repeating Crossbow (Sacred)
790	Chain Mail (5)
791	Breast Plate (5)
792	Splint Mail (5)
793	Plate Mail (5)
794	Field Plate (5)
795	Light Plate (5)
796	Gothic Plate (5)
797	Full Plate Mail (5)
798	Ancient Armor (5)
799	Cap (5)
7ar	Suwayyah
7ax	Small Crescent
7b7	Champion Sword
7b8	Winged Axe
7ba	Silver-edged Axe
7bk	Winged Knife
7bl	Legend Spike
7br	Mancatcher
7bs	Conquest Sword
7bt	Decapitator
7bw	Lich Wand
7cl	Truncheon
7cm	Highland Blade
7cr	Phase Blade
7cs	Battle Cestus
7dg	Bone Knife
7di	Mithril Point
7fb	Colossus Sword
7fc	Hydra Edge
7fl	Scourge
7ga	Champion Axe
7gd	Colossus Blade
7gi	Glorious Axe
7gl	Ghost Glaive
7gm	Thunder Maul
7gs	Balrog Blade
7gw	Unearthed Wand
7h7	Great Poleaxe
7ha	Tomahawk
7ja	Hyperion Javelin
7kr	Fanged Knife
7la	Feral Axe
7ls	Cryptic Sword
7lw	Feral Claws
7m7	Ogre Maul
7ma	Reinforced Mace
7mp	War Spike
7mt	Devil Star
7o7	Ogre Axe
7p7	War Pike
7pa	Cryptic Axe
7pi	Stygian Pilum
7qr	Scissors Suwayyah
7qs	Seraph Rod
7s7	Balrog Spear
7s8	Thresher
7sb	Elegant Blade
7sc	Mighty Scepter
7sm	Ataghan
7sp	Tyrant Club
7sr	Hyperion Spear
7ss	Falcata
7st	Ghost Spear
7ta	Flying Axe
7tk	Flying Knife
7tr	Stygian Pike
7ts	Winged Harpoon
7tw	Runic Talons
7vo	Colossus Voulge
7wa	Berserker Axe
7wb	Wrist Sword
7wc	Giant Thresher
7wd	Mythical Sword
7wh	Legendary Mallet
7wn	Polished Wand
7ws	Caduceus
7xf	War Fist
7yw	Ghost Wand
8@1	Serpent Bow (1)
8@2	Maple Bow (3)
8@3	Viper Bow (5)
8@4	Recurve Bow (Sacred)
8@5	Backsword (2)
8@6	Ida (4)
8@7	Bronze Sword (6)
8@8	Bonebreaker (1)
8@9	Goedendag (3)
8@A	Angel Star (5)
8@C	Needle Crossbow (2)
8@D	Dart Thrower (4)
8@E	Stinger Crossbow (6)
8@G	Lamellar Armor (1)
8@H	Kazarghand (3)
8@I	Banded Plate (5)
8@J	Ceremonial Armor (Sacred)
8@K	Cervelliere (2)
8@L	Einherjar Helm (4)
8@M	Spangenhelm (6)
8@N	Aspis (1)
8@O	Totem Shield (3)
8@P	Bladed Shield (5)
80@	Eagle Orb (Sacred)
800	Skull Cap (5)
801	Helm (5)
802	Full Helm (5)
803	Great Helm (5)
804	Crown (5)
805	Buckler (5)
806	Small Shield (5)
807	Large Shield (5)
808	Kite Shield (5)
809	Tower Shield (5)
81@	Sacred Globe (Sacred)
810	Gothic Shield (5)
811	Sash (5)
812	Light Belt (5)
813	Belt (5)
814	Heavy Belt (5)
815	Plated Belt (5)
816	Leather Gloves (5)
817	Heavy Gloves (5)
818	Chain Gloves (5)
819	Light Gauntlets (5)
82@	Smoked Sphere (Sacred)
820	Gauntlets (5)
821	Boots (5)
822	Heavy Boots (5)
823	Chain Boots (5)
824	Light Plated Boots (5)
825	Greaves (5)
826	Bone Shield (5)
827	Spiked Shield (5)
828	Mask (5)
829	Bone Helm (5)
83@	Clasped Orb (Sacred)
830	Quilted Armor (6)
831	Leather Armor (6)
832	Hard Leather Armor (6)
833	Studded Leather (6)
834	Ring Mail (6)
835	Scale Mail (6)
836	Chain Mail (6)
837	Breast Plate (6)
838	Splint Mail (6)
839	Plate Mail (6)
84@	Jared's Stone (Sacred)
840	Field Plate (6)
841	Light Plate (6)
842	Gothic Plate (6)
843	Full Plate Mail (6)
844	Ancient Armor (6)
845	Cap (6)
846	Skull Cap (6)
847	Helm (6)
848	Full Helm (6)
849	Great Helm (6)
85@	Stag Bow (Sacred)
850	Crown (6)
851	Buckler (6)
852	Small Shield (6)
853	Large Shield (6)
854	Kite Shield (6)
855	Tower Shield (6)
856	Gothic Shield (6)
857	Sash (6)
858	Light Belt (6)
859	Belt (6)
86@	Reflex Bow (Sacred)
860	Heavy Belt (6)
861	Plated Belt (6)
862	Leather Gloves (6)
863	Heavy Gloves (6)
864	Chain Gloves (6)
865	Light Gauntlets (6)
866	Gauntlets (6)
867	Boots (6)
868	Heavy Boots (6)
869	Chain Boots (6)
87@	Maiden Spear (Sacred)
870	Light Plated Boots (6)
871	Greaves (6)
872	Bone Shield (6)
873	Spiked Shield (6)
874	Mask (6)
875	Bone Helm (6)
88@	Maiden Pike (Sacred)
89@	Maiden Javelin (Sacred)
8bs	Gothic Staff
8cb	Double Bow
8cs	Cedar Staff
8hb	Razor Bow
8hx	Ballista
8l8	Large Siege Bow
8lb	Cedar Bow
8ls	Quarterstaff
8lw	Gothic Bow
8lx	Arbalest
8mx	Siege Crossbow
8rx	Chu-Ko-Nu
8s8	Short Siege Bow
8sb	Edge Bow
8ss	Jo Staff
8sw	Rune Bow
8ws	Rune Staff
9$a	Chipped Bloodstone
9$b	Flawed Bloodstone
9$c	Bloodstone
9$d	Flawless Bloodstone
9$e	Perfect Bloodstone
9@1	Serpent Bow (2)
9@2	Maple Bow (4)
9@3	Viper Bow (6)
9@4	Spatha (1)
9@5	Backsword (3)
9@6	Ida (5)
9@7	Bronze Sword (Sacred)
9@8	Bonebreaker (2)
9@9	Goedendag (4)
9@A	Angel Star (6)
9@B	Hand of God (1)
9@C	Needle Crossbow (3)
9@D	Dart Thrower (5)
9@E	Stinger Crossbow (Sacred)
9@G	Lamellar Armor (2)
9@H	Kazarghand (4)
9@I	Banded Plate (6)
9@J	Morion (1)
9@K	Cervelliere (3)
9@L	Einherjar Helm (5)
9@M	Spangenhelm (Sacred)
9@N	Aspis (2)
9@O	Totem Shield (4)
9@P	Bladed Shield (6)
90@	Katar (Sacred)
91@	Wrist Blade (Sacred)
92@	Hatchet Hands (Sacred)
92a	Twin Axe
92h	Espandon
93@	Cestus (Sacred)
94@	Claws (Sacred)
95@	Blade Talons (Sacred)
96@	Scissors Katar (Sacred)
98-	Wisdom: -- Duncraig (bonus uberquest) --
99-	-- Cluey the Paperclip --
9ar	Quhab
9ax	Cleaver
9b7	Lochaber Axe
9b8	Hurlbat
9b9	Gothic Sword
9ba	Bearded Axe
9bk	War Dart
9bl	Stiletto
9br	War Fork
9bs	Battle Sword
9bt	Tabar
9bw	Tomb Wand
9cl	Cudgel
9cm	Dacian Falx
9cr	Dimensional Blade
9cs	Hand Scythe
9dg	Poignard
9di	Rondel
9fb	Zweihander
9fc	Tulwar
9fl	Knout
9ga	Gothic Axe
9gd	Executioner Sword
9gi	Ancient Axe
9gl	Spiculum
9gm	Martel de Fer
9gs	Tusk Sword
9gw	Grave Wand
9h9	Bec-de-Corbin
9ha	Hatchet
9ja	War Javelin
9kr	Cinquedeas
9la	Military Axe
9ls	Rune Sword
9lw	Greater Claws
9m9	War Club
9ma	Flanged Mace
9mp	Crowbill
9mt	Jagged Star
9p9	Lance
9pa	Partizan
9pi	Great Pilum
9qr	Scissors Quhab
9qs	Holy Water Sprinkler
9s8	Battle Scythe
9s9	Simbilan
9sb	Shamshir
9sc	Rune Scepter
9sm	Cutlass
9sp	Barbed Club
9sr	War Spear
9ss	Gladius
9st	Yari
9ta	Francisca
9tk	Battle Dart
9tr	Fuscina
9ts	Harpoon
9tw	Greater Talons
9vo	Bill
9wa	Naga
9wb	Wrist Spike
9wc	Grim Scythe
9wd	Ancient Sword
9wh	Battle Hammer
9wn	Burnt Wand
9ws	Divine Scepter
9xf	Fascia
9yw	Petrified Wand
A0+	Creepy Shrine (10 Charges)
A1+	Creepy Shrine (9 Charges)
A2+	Creepy Shrine (8 Charges)
A3+	Creepy Shrine (7 Charges)
A4+	Creepy Shrine (6 Charges)
A5+	Creepy Shrine (5 Charges)
a55	Optical Detector
a56	Azmodan's Heart
a57	Visions of Akarat
a58	Scroll of Kings
a59	Laser Focus Crystal
A6+	Creepy Shrine (4 Charges)
a60	The Butcher's Tooth
a61	Sacred Worldstone Key
a66	Idol of Vanity
a67	Spirit of Damnation
a68	Horazon's Focus
A7+	Creepy Shrine (3 Charges)
a72	Healer's Light Key
a73	Summoner's Shadow Key
a74	Cleric's Order Key
a75	Shaman's Chaos Key
A8+	Creepy Shrine (2 Charges)
A9+	Creepy Shrine (1 Charge)
aar	Ancient Armor
ab!	Astrogha's Venom Stinger
abu	Do Not Use Ethereal Items Idiot
adi	Legacy of Blood
Air	Air
am1	Stag Bow
am2	Reflex Bow
am3	Maiden Spear
am4	Maiden Pike
am5	Maiden Javelin
am6	Ashwood Bow
am7	Ceremonial Bow
am8	Ceremonial Spear
am9	Ceremonial Pike
ama	Ceremonial Javelin
amb	Matriarchal Bow
amc	Grand Matron Bow
amd	Matriarchal Spear
ame	Matriarchal Pike
amf	Matriarchal Javelin
amu	Amulet
aq!	Silver Seal of Ureh
aqv	Arrow Quiver
as1	Wraps
as2	Knuckles
as3	Slashers
as4	Splay
as5	Hook
as6	Shank
as7	Claws
Asp	Asp
ass	Book of Skill
axe	Axe
axf	Hatchet Hands
az!	Fool's Gold
b@b	Goodberry
B0+	Abandoned Shrine (10 Charges)
B1+	Abandoned Shrine (9 Charges)
B2+	Abandoned Shrine (8 Charges)
B3+	Abandoned Shrine (7 Charges)
B4+	Abandoned Shrine (6 Charges)
B5+	Abandoned Shrine (5 Charges)
B6+	Abandoned Shrine (4 Charges)
B7+	Abandoned Shrine (3 Charges)
B8+	Abandoned Shrine (2 Charges)
B9+	Abandoned Shrine (1 Charge)
ba1	Jawbone Cap
ba2	Fanged Helm
ba3	Horned Helm
ba4	Assault Helmet
ba5	Avenger Guard
ba6	Jawbone Visor
ba7	Lion Helm
ba8	Rage Mask
ba9	Savage Helmet
baa	Slayer Guard
bab	Carnage Helm
bac	Fury Visor
bad	Destroyer Helm
bae	Conqueror Crown
baf	Guardian Crown
bag	Bag
bal	Balanced Axe
bar	Bardiche
bax	Broad Axe
bbb	Lam Esen's Tome
bed	Bed
bhm	Bone Helm
bkd	Key to the Cairn Stones
bkf	Balanced Knife
bks	Scroll of Inifuss
bld	Blade
box	Horadric Cube
brn	Brandistock
brs	Breast Plate
brz	Brain
bsd	Broad Sword
bsh	Bone Shield
bst	Battle Staff
bsw	Bastard Sword
btl	Blade Talons
btx	Battle Axe
buc	Buckler
bwn	Bone Wand
c@c	Moon Symbol
C0+	Quiet Shrine (10 Charges)
C1+	Quiet Shrine (9 Charges)
C2+	Quiet Shrine (8 Charges)
C3+	Quiet Shrine (7 Charges)
C4+	Quiet Shrine (6 Charges)
C5+	Quiet Shrine (5 Charges)
C6+	Quiet Shrine (4 Charges)
C7+	Quiet Shrine (3 Charges)
C8+	Quiet Shrine (2 Charges)
C9+	Quiet Shrine (1 Charge)
cap	Cap
cbw	Composite Bow
ces	Cestus
chn	Chain Mail
ci0	Circlet
ci1	Coronet
ci2	Tiara
ci3	Diadem
clb	Club
clm	Claymore
clw	Claws
cm1	WARNING: HACKED ITEM - Small Charm
cm2	WARNING: HACKED ITEM - Large Charm
cm3	WARNING: HACKED ITEM - Grand Charm
cqv	Bolt Quiver
crn	Crown
crs	Crystal Sword
cry	Cry
cst	Gnarled Staff
d@d	Moon Symbol
D0+	Eerie Shrine (10 Charges)
D1+	Eerie Shrine (9 Charges)
D2+	Eerie Shrine (8 Charges)
D3+	Eerie Shrine (7 Charges)
d33	Decoy Gidbinn
D4+	Eerie Shrine (6 Charges)
D5+	Eerie Shrine (5 Charges)
D6+	Eerie Shrine (4 Charges)
D7+	Eerie Shrine (3 Charges)
D8+	Eerie Shrine (2 Charges)
D9+	Eerie Shrine (1 Charge)
dgr	Dagger
dir	Dirk
dr1	Wolf Head
dr2	Hawk Helm
dr3	Antlers
dr4	Falcon Mask
dr5	Spirit Mask
dr6	Alpha Helm
dr7	Griffon Headdress
dr8	Hunter's Guise
dr9	Sacred Feathers
dra	Totemic Mask
drb	Blood Spirit
drc	Sun Spirit
drd	Earth Spirit
dre	Sky Spirit
drf	Dream Spirit
DrQ	Dragon
Dun	Dun
e@e	Heart of Life
E0+	Weird Shrine (10 Charges)
E1+	Weird Shrine (9 Charges)
e10	Targe (5)
e11	Rondache (5)
e12	Heraldic Shield (5)
e13	Aerin Shield (5)
e14	Crown Shield (5)
