code	*done	set1	val1	func1	stat1	set2	val2	func2	stat2	set3	val3	func3	stat3	set4	val4	func4	stat4	set5	val5	func5	stat5	set6	val6	func6	stat6	set7	val7	func7	stat7	*desc	*param	*min	*max	*notes	*eol
mon-abs-all%	1			1	item_absorbfire_percent			3	item_absorbcold_percent			3	item_absorblight_percent			3	item_absorbmagic_percent			3	item_absorbphys_percent			3	item_absorbpois_percent									none	0
extra-all2	1			1	passive_fire_mastery			3	passive_ltng_mastery			3	passive_cold_mastery			3	passive_mag2_mastery			3	passive_wind_mastery			3	passive_pois_mastery					All damage types				none	0
fire-multi	1			1	fire_multi																														0
cold-multi	1			1	cold_multi																														0
ltng-multi	1			1	ltng_multi																														0
poison-multi	1			1	poison_multi																														0
magic-multi	1			1	magic_multi																														0
phys-multi	1			1	phys_multi																														0
summ-multi	1			1	summ_multi																														0
crit-multi	1			1	crit_multi																														0
abs-all%	1			1	item_absorbfire_percent			3	item_absorblight_percent			3	item_absorbcold_percent			3	item_absorbmagic_percent			3	item_absorbphys_percent			3	item_absorbpois_percent					All damage types				none	0
fasterattackanim	1			1	attackrate																														0
fasterattackanim/lvl	1			17	attackrate/lvl																														0
item-telecooldownadjust	1			1	item_telecooldownadjust																													none	0
flat_dmg_firecoldltng%	1			1	min_dmg_firecoldltng%			3	max_dmg_firecoldltng%																										0
poison-count-override	1			1	skill_poison_override_length																														0
passive-ele-mastery-multi	1			1	passive_fire_mastery_multi			1	passive_ltng_mastery_multi			1	passive_cold_mastery_multi																						0
passive-ele-pierce	1			1	passive_fire_pierce			1	passive_cold_pierce			1	passive_ltng_pierce																						0
passive-allbutpois-pierce	1			1	passive_fire_pierce			1	passive_cold_pierce			1	passive_ltng_pierce			1	passive_phys_pierce			1	passive_mag_pierce														0
passive-all-pierce	1			1	passive_fire_pierce			1	passive_cold_pierce			1	passive_ltng_pierce			1	passive_phys_pierce			1	passive_mag_pierce			1	passive_pois_pierce										0
passive-all-mastery-multi	1			1	passive_fire_mastery_multi			1	passive_ltng_mastery_multi			1	passive_cold_mastery_multi			1	passive_pois_mastery_multi			1	passive_mag2_mastery_multi			1	passive_wind_mastery_multi										0
petmax-increase	1			1	petmax_increase																														0
velocity-percent	1			1	velocitypercent																														0
curse-resistance	1			1	curse_resistance																														0
cast-swing	1			1	item_fastercastrate			1	item_fasterattackrate																										0
